tourismuswwwnrw-tourismusde1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
tourismuswwwnrw-tourismusde1,6.59436700027,6.60988300014,0.0155159998685,core 0 cpu_idle,0.000236828463993,1571184308.59,1571184308.61
tourismuswwwnrw-tourismusde1,6.60988300014,6.61007100018,0.000188000034541,core 0 cpu_frequency,7.59197907486e-05,1571184308.61,1571184308.61
tourismuswwwnrw-tourismusde1,6.61007100018,6.61906800047,0.00899700028822,core 0 cpu_idle,0.000137325713899,1571184308.61,1571184308.62
tourismuswwwnrw-tourismusde1,6.61906800047,6.61930900021,0.000240999739617,core 0 cpu_frequency,9.73225874499e-05,1571184308.62,1571184308.62
tourismuswwwnrw-tourismusde1,6.61930900021,6.63919500029,0.0198860000819,core 0 cpu_idle,0.00030352996225,1571184308.62,1571184308.64
tourismuswwwnrw-tourismusde1,6.63919500029,6.63931500027,0.000119999982417,core 0 cpu_frequency,4.84594248993e-05,1571184308.64,1571184308.64
tourismuswwwnrw-tourismusde1,6.63931500027,6.64181800047,0.00250300019979,core 0 cpu_idle,3.82045435496e-05,1571184308.64,1571184308.64
tourismuswwwnrw-tourismusde1,6.64181800047,6.64221200021,0.000393999740481,core 0 cpu_frequency,0.000159108363599,1571184308.64,1571184308.64
tourismuswwwnrw-tourismusde1,6.64221200021,6.6620950005,0.0198830002919,core 0 cpu_idle,0.000303484174955,1571184308.64,1571184308.66
tourismuswwwnrw-tourismusde1,6.6620950005,6.66231100028,0.000215999782085,core 0 cpu_frequency,8.72268895999e-05,1571184308.66,1571184308.66
tourismuswwwnrw-tourismusde1,6.66231100028,6.66570900008,0.00339799979702,core 0 cpu_idle,5.18653699018e-05,1571184308.66,1571184308.67
tourismuswwwnrw-tourismusde1,6.66570900008,6.67376700044,0.00805800035596,core 0 cpu_frequency,0.00325405100255,1571184308.67,1571184308.67
tourismuswwwnrw-tourismusde1,6.67376700044,6.68588500051,0.0121180000715,core 0 cpu_idle,0.000184963094091,1571184308.67,1571184308.69
tourismuswwwnrw-tourismusde1,6.68588500051,6.68901500013,0.00312999961898,core 0 cpu_frequency,0.00126398336413,1571184308.69,1571184308.69
tourismuswwwnrw-tourismusde1,6.68901500013,6.69180100039,0.00278600025922,core 0 cpu_frequency,0.00112506658428,1571184308.69,1571184308.69
tourismuswwwnrw-tourismusde1,6.69180100039,6.70669000037,0.0148889999837,core 0 cpu_idle,0.000227258251251,1571184308.69,1571184308.71
tourismuswwwnrw-tourismusde1,6.70669000037,6.70684500039,0.000155000016093,core 0 cpu_frequency,6.25934394989e-05,1571184308.71,1571184308.71
tourismuswwwnrw-tourismusde1,6.70684500039,6.72681900021,0.0199739998206,core 0 cpu_idle,0.000304873146262,1571184308.71,1571184308.73
tourismuswwwnrw-tourismusde1,6.72681900021,6.72696600016,0.000146999955177,core 0 cpu_frequency,5.93627860993e-05,1571184308.73,1571184308.73
tourismuswwwnrw-tourismusde1,6.72696600016,6.73569500027,0.00872900011018,core 0 cpu_idle,0.000133235093182,1571184308.73,1571184308.74
tourismuswwwnrw-tourismusde1,6.73569500027,6.73704200052,0.001347000245,core 0 cpu_frequency,0.00054395722314,1571184308.74,1571184308.74
tourismuswwwnrw-tourismusde1,6.73704200052,6.73987900047,0.00283699994907,core 0 cpu_idle,4.33025487226e-05,1571184308.74,1571184308.74
tourismuswwwnrw-tourismusde1,6.73987900047,6.74002000038,0.00014099990949,core 0 cpu_frequency,5.69397960496e-05,1571184308.74,1571184308.74
tourismuswwwnrw-tourismusde1,6.74002000038,6.76174000045,0.021720000077,core 0 cpu_idle,0.000331523221176,1571184308.74,1571184308.76
tourismuswwwnrw-tourismusde1,6.76174000045,6.76230400009,0.000563999637961,core 0 cpu_frequency,0.000227759184198,1571184308.76,1571184308.76
tourismuswwwnrw-tourismusde1,6.76230400009,6.8390850001,0.0767810000107,core 0 cpu_idle,0.00117194679366,1571184308.76,1571184308.84
tourismuswwwnrw-tourismusde1,6.8390850001,6.83922900027,0.000144000165164,core 0 cpu_frequency,5.81513850981e-05,1571184308.84,1571184308.84
tourismuswwwnrw-tourismusde1,6.83922900027,6.8592050001,0.0199759998359,core 0 cpu_idle,0.000304903673495,1571184308.84,1571184308.86
tourismuswwwnrw-tourismusde1,6.8592050001,6.85989500023,0.000690000131726,core 0 cpu_frequency,0.000278641787195,1571184308.86,1571184308.86
tourismuswwwnrw-tourismusde1,6.85989500023,6.89910400007,0.039208999835,core 0 cpu_idle,0.000598466568981,1571184308.86,1571184308.9
tourismuswwwnrw-tourismusde1,6.89910400007,6.89988800045,0.000784000381827,core 0 cpu_frequency,0.000316601776593,1571184308.9,1571184308.9
tourismuswwwnrw-tourismusde1,6.89988800045,6.91922200052,0.0193340000696,core 0 cpu_idle,0.000295104510063,1571184308.9,1571184308.92
tourismuswwwnrw-tourismusde1,6.91922200052,6.91960700043,0.000384999904782,core 0 cpu_frequency,0.000155473972548,1571184308.92,1571184308.92
tourismuswwwnrw-tourismusde1,6.91960700043,6.93924900051,0.0196420000866,core 0 cpu_idle,0.000299805668322,1571184308.92,1571184308.94
tourismuswwwnrw-tourismusde1,6.93924900051,6.94013000047,0.00088099995628,core 0 cpu_frequency,0.000355772978945,1571184308.94,1571184308.94
tourismuswwwnrw-tourismusde1,6.94013000047,6.95492900023,0.014798999764,core 0 cpu_idle,0.000225884532898,1571184308.94,1571184308.95
tourismuswwwnrw-tourismusde1,6.95492900023,6.95500300033,7.40000978112e-05,core 0 cpu_frequency,2.9883355899e-05,1571184308.95,1571184308.96
tourismuswwwnrw-tourismusde1,6.95500300033,6.97582800034,0.0208250000142,core 0 cpu_idle,0.000317862387716,1571184308.96,1571184308.98
tourismuswwwnrw-tourismusde1,6.97582800034,6.97692500008,0.00109699973837,core 0 cpu_frequency,0.000442999868544,1571184308.98,1571184308.98
tourismuswwwnrw-tourismusde1,6.97692500008,6.97908900026,0.00216400017962,core 0 cpu_idle,3.30302167416e-05,1571184308.98,1571184308.98
tourismuswwwnrw-tourismusde1,6.97908900026,6.97915300028,6.40000216663e-05,core 0 cpu_frequency,2.58450391495e-05,1571184308.98,1571184308.98
tourismuswwwnrw-tourismusde1,6.97915300028,6.98735600011,0.00820299983025,core 0 cpu_idle,0.000125206487909,1571184308.98,1571184308.99
tourismuswwwnrw-tourismusde1,6.98735600011,6.98798100045,0.000625000335276,core 0 cpu_frequency,0.000252393010394,1571184308.99,1571184308.99
tourismuswwwnrw-tourismusde1,6.98798100045,6.9990740004,0.0110929999501,core 0 cpu_idle,0.000169318004738,1571184308.99,1571184309.0
tourismuswwwnrw-tourismusde1,6.9990740004,7.00109400041,0.00202000001445,core 0 cpu_frequency,0.000815733777837,1571184309.0,1571184309.0
tourismuswwwnrw-tourismusde1,7.00109400041,7.01921200007,0.018117999658,core 0 cpu_idle,0.00027654408778,1571184309.0,1571184309.02
tourismuswwwnrw-tourismusde1,7.01921200007,7.0194120002,0.000200000125915,core 0 cpu_frequency,8.0765770848e-05,1571184309.02,1571184309.02
tourismuswwwnrw-tourismusde1,7.0194120002,7.03548400011,0.0160719999112,core 0 cpu_idle,0.000245314970645,1571184309.02,1571184309.04
tourismuswwwnrw-tourismusde1,7.03548400011,7.03767900029,0.00219500018284,core 0 cpu_frequency,0.000886403850835,1571184309.04,1571184309.04
tourismuswwwnrw-tourismusde1,7.03767900029,7.03798800008,0.000308999791741,core 0 cpu_frequency,0.000124782953299,1571184309.04,1571184309.04
tourismuswwwnrw-tourismusde1,7.03798800008,7.03903300036,0.00104500027373,core 0 cpu_idle,1.59503616781e-05,1571184309.04,1571184309.04
tourismuswwwnrw-tourismusde1,7.03903300036,7.03952400014,0.000490999780595,core 0 cpu_frequency,0.000198279753998,1571184309.04,1571184309.04
tourismuswwwnrw-tourismusde1,7.03952400014,7.05914300028,0.0196190001443,core 0 cpu_idle,0.000299454608703,1571184309.04,1571184309.06
tourismuswwwnrw-tourismusde1,7.05914300028,7.05960600032,0.000463000033051,core 0 cpu_frequency,0.000186972655147,1571184309.06,1571184309.06
tourismuswwwnrw-tourismusde1,7.05960600032,7.06662900047,0.00702300015837,core 0 cpu_idle,0.000107195562917,1571184309.06,1571184309.07
tourismuswwwnrw-tourismusde1,7.06662900047,7.06718000025,0.000550999771804,core 0 cpu_frequency,0.000222509466448,1571184309.07,1571184309.07
tourismuswwwnrw-tourismusde1,7.06718000025,7.06744400039,0.000264000147581,core 0 cpu_frequency,0.000106610809997,1571184309.07,1571184309.07
tourismuswwwnrw-tourismusde1,7.06744400039,7.09251700016,0.0250729997642,core 0 cpu_idle,0.000382701731901,1571184309.07,1571184309.09
tourismuswwwnrw-tourismusde1,7.09251700016,7.09265000047,0.000133000314236,core 0 cpu_frequency,5.37093306974e-05,1571184309.09,1571184309.09
tourismuswwwnrw-tourismusde1,7.09265000047,7.09303700039,0.000386999920011,core 0 cpu_idle,5.90697327908e-06,1571184309.09,1571184309.09
tourismuswwwnrw-tourismusde1,7.09303700039,7.09689700045,0.00386000005528,core 0 cpu_frequency,0.00155877841832,1571184309.09,1571184309.1
tourismuswwwnrw-tourismusde1,7.09689700045,7.09909600019,0.00219899974763,core 0 cpu_idle,3.3564432648e-05,1571184309.1,1571184309.1
tourismuswwwnrw-tourismusde1,7.09909600019,7.10043300036,0.00133700016886,core 0 cpu_frequency,0.00053991890639,1571184309.1,1571184309.1
tourismuswwwnrw-tourismusde1,7.10043300036,7.11916600028,0.0187329999171,core 0 cpu_idle,0.000285931144235,1571184309.1,1571184309.12
tourismuswwwnrw-tourismusde1,7.11916600028,7.11936600041,0.000200000125915,core 0 cpu_frequency,8.0765770848e-05,1571184309.12,1571184309.12
tourismuswwwnrw-tourismusde1,7.11936600041,7.13280000025,0.0134339998476,core 0 cpu_idle,0.000205049856674,1571184309.12,1571184309.13
tourismuswwwnrw-tourismusde1,7.13280000025,7.13322400022,0.000423999968916,core 0 cpu_frequency,0.000171223313847,1571184309.13,1571184309.13
tourismuswwwnrw-tourismusde1,7.13322400022,7.15580400033,0.0225800001062,core 0 cpu_idle,0.000344649831622,1571184309.13,1571184309.16
