nylonnyloncom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
nylonnyloncom1,0.0,6.28606899967,6.28606899967,core 0 cpu_idle start,0.09614542535,1571190765.0,1571190771.29
nylonnyloncom1,6.28606899967,6.29789099982,0.0118220001459,core 0 cpu_idle,0.000180817492232,1571190771.29,1571190771.3
nylonnyloncom1,6.29789099982,6.29803499999,0.000144000165164,core 0 cpu_frequency,5.82713948358e-05,1571190771.3,1571190771.3
nylonnyloncom1,6.29803499999,6.31790799974,0.0198729997501,core 0 cpu_idle,0.000303957531177,1571190771.3,1571190771.32
nylonnyloncom1,6.31790799974,6.31797399977,6.60000368953e-05,core 0 cpu_frequency,2.67077069301e-05,1571190771.32,1571190771.32
nylonnyloncom1,6.31797399977,6.31918899994,0.00121500017121,core 0 cpu_idle,1.85834276187e-05,1571190771.32,1571190771.32
nylonnyloncom1,6.31918899994,6.32016299991,0.000973999965936,core 0 cpu_frequency,0.000394140774216,1571190771.32,1571190771.32
nylonnyloncom1,6.32016299991,6.34070299985,0.0205399999395,core 0 cpu_idle,0.000314159299075,1571190771.32,1571190771.34
nylonnyloncom1,6.34070299985,6.34324399987,0.00254100002348,core 0 cpu_frequency,0.0010282461515,1571190771.34,1571190771.34
nylonnyloncom1,6.34324399987,6.35121299978,0.0079689999111,core 0 cpu_idle,0.00012188585364,1571190771.34,1571190771.35
nylonnyloncom1,6.35121299978,6.35122699989,1.40001066029e-05,core 0 cpu_frequency,5.66531113815e-06,1571190771.35,1571190771.35
nylonnyloncom1,6.35122699989,6.3517479999,0.00052100000903,core 0 cpu_idle,7.96869513812e-06,1571190771.35,1571190771.35
nylonnyloncom1,6.3517479999,6.35185599979,0.000107999891043,core 0 cpu_frequency,4.37034519091e-05,1571190771.35,1571190771.35
nylonnyloncom1,6.35185599979,6.37456099968,0.0227049998939,core 0 cpu_idle,0.000347272973377,1571190771.35,1571190771.37
nylonnyloncom1,6.37456099968,6.37744800001,0.00288700032979,core 0 cpu_frequency,0.00116825932745,1571190771.37,1571190771.38
nylonnyloncom1,6.37744800001,6.39790999983,0.0204619998112,core 0 cpu_idle,0.000312966287113,1571190771.38,1571190771.4
nylonnyloncom1,6.39790999983,6.40045899991,0.0025490000844,core 0 cpu_frequency,0.00103148347215,1571190771.4,1571190771.4
nylonnyloncom1,6.40045899991,6.41693300009,0.0164740001783,core 0 cpu_idle,0.000251969832727,1571190771.4,1571190771.42
nylonnyloncom1,6.41693300009,6.41698500002,5.19999302924e-05,core 0 cpu_frequency,2.1042395792e-05,1571190771.42,1571190771.42
nylonnyloncom1,6.41698500002,6.41738,0.000394999980927,core 0 cpu_idle,6.04152470827e-06,1571190771.42,1571190771.42
nylonnyloncom1,6.41738,6.41886799969,0.00148799968883,core 0 cpu_frequency,0.000602136930083,1571190771.42,1571190771.42
nylonnyloncom1,6.41886799969,6.42035199981,0.00148400012404,core 0 cpu_frequency,0.000600518458193,1571190771.42,1571190771.42
nylonnyloncom1,6.42035199981,6.43784399983,0.0174920000136,core 0 cpu_idle,0.000267540140208,1571190771.42,1571190771.44
nylonnyloncom1,6.43784399983,6.43791199988,6.80000521243e-05,core 0 cpu_frequency,2.75170370927e-05,1571190771.44,1571190771.44
nylonnyloncom1,6.43791199988,6.45789700001,0.0199850001372,core 0 cpu_idle,0.000305670577099,1571190771.44,1571190771.46
