zumatawwwzumatacom2,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
zumatawwwzumatacom2,0.0,6.30601399997,6.30601399997,core 0 cpu_idle start,0.0962959867866,1571183247.0,1571183253.31
zumatawwwzumatacom2,6.30601399997,6.31504999986,0.00903599988669,core 0 cpu_idle,0.00013798423627,1571183253.31,1571183253.32
zumatawwwzumatacom2,6.31504999986,6.31592199998,0.00087200012058,core 0 cpu_frequency,0.000352300082316,1571183253.32,1571183253.32
zumatawwwzumatacom2,6.31592199998,6.33509799978,0.0191759997979,core 0 cpu_idle,0.000292827104914,1571183253.32,1571183253.34
zumatawwwzumatacom2,6.33509799978,6.33636099985,0.00126300007105,core 0 cpu_frequency,0.000510269458105,1571183253.34,1571183253.34
zumatawwwzumatacom2,6.33636099985,6.38242200017,0.0460610003211,core 0 cpu_idle,0.000703374505403,1571183253.34,1571183253.38
zumatawwwzumatacom2,6.38242200017,6.38404300017,0.00162100000307,core 0 cpu_frequency,0.00065490637104,1571183253.38,1571183253.38
zumatawwwzumatacom2,6.38404300017,6.40267700003,0.0186339998618,core 0 cpu_idle,0.000284550494889,1571183253.38,1571183253.4
zumatawwwzumatacom2,6.40267700003,6.40286199981,0.000184999778867,core 0 cpu_frequency,7.47424636591e-05,1571183253.4,1571183253.4
zumatawwwzumatacom2,6.40286199981,6.41495400015,0.0120920003392,core 0 cpu_idle,0.000184650891179,1571183253.4,1571183253.41
zumatawwwzumatacom2,6.41495400015,6.4150390001,8.499994874e-05,core 0 cpu_frequency,3.43411522903e-05,1571183253.41,1571183253.42
zumatawwwzumatacom2,6.4150390001,6.43502999982,0.0199909997173,core 0 cpu_idle,0.000305272561183,1571183253.42,1571183253.44
zumatawwwzumatacom2,6.43502999982,6.43524800008,0.000218000262976,core 0 cpu_frequency,8.80751146458e-05,1571183253.44,1571183253.44
zumatawwwzumatacom2,6.43524800008,6.45532299997,0.0200749998912,core 0 cpu_idle,0.000306555285839,1571183253.44,1571183253.46
zumatawwwzumatacom2,6.45532299997,6.45543299988,0.000109999906272,core 0 cpu_frequency,4.44414801325e-05,1571183253.46,1571183253.46
zumatawwwzumatacom2,6.45543299988,6.49495700002,0.039524000138,core 0 cpu_idle,0.000603551244108,1571183253.46,1571183253.49
zumatawwwzumatacom2,6.49495700002,6.49515500013,0.000198000110686,core 0 cpu_frequency,7.99947771186e-05,1571183253.49,1571183253.5
zumatawwwzumatacom2,6.49515500013,6.51511699986,0.0199619997293,core 0 cpu_idle,0.000304829716866,1571183253.5,1571183253.52
zumatawwwzumatacom2,6.51511699986,6.51687100017,0.00175400031731,core 0 cpu_frequency,0.000708640333396,1571183253.52,1571183253.52
zumatawwwzumatacom2,6.51687100017,6.53510800004,0.0182369998656,core 0 cpu_idle,0.000278488106448,1571183253.52,1571183253.54
zumatawwwzumatacom2,6.53510800004,6.53830899997,0.00320099992678,core 0 cpu_frequency,0.00129324814422,1571183253.54,1571183253.54
zumatawwwzumatacom2,6.53830899997,6.56662499998,0.0283160000108,core 0 cpu_idle,0.000432399478165,1571183253.54,1571183253.57
zumatawwwzumatacom2,6.56662499998,6.56812499976,0.00149999978021,core 0 cpu_frequency,0.000606020611201,1571183253.57,1571183253.57
zumatawwwzumatacom2,6.56812499976,6.58764000004,0.0195150002837,core 0 cpu_idle,0.000298003811833,1571183253.57,1571183253.59
zumatawwwzumatacom2,6.58764000004,6.58815900004,0.000518999993801,core 0 cpu_frequency,0.000209683159696,1571183253.59,1571183253.59
zumatawwwzumatacom2,6.58815900004,6.61244199984,0.0242829998024,core 0 cpu_idle,0.000370813548482,1571183253.59,1571183253.61
zumatawwwzumatacom2,6.61244199984,6.61257899972,0.000136999879032,core 0 cpu_frequency,5.53498417274e-05,1571183253.61,1571183253.61
zumatawwwzumatacom2,6.61257899972,6.63379899971,0.0212199999951,core 0 cpu_idle,0.000324040009925,1571183253.61,1571183253.63
zumatawwwzumatacom2,6.63379899971,6.63494500006,0.00114600034431,core 0 cpu_frequency,0.000462999953904,1571183253.63,1571183253.63
zumatawwwzumatacom2,6.63494500006,6.65513500012,0.0201900000684,core 0 cpu_idle,0.000308311396044,1571183253.63,1571183253.66
zumatawwwzumatacom2,6.65513500012,6.65530700004,0.000171999912709,core 0 cpu_frequency,6.94903383332e-05,1571183253.66,1571183253.66
zumatawwwzumatacom2,6.65530700004,6.65545699978,0.00014999974519,core 0 cpu_idle,2.29057110893e-06,1571183253.66,1571183253.66
zumatawwwzumatacom2,6.65545699978,6.65818999987,0.00273300008848,core 0 cpu_frequency,0.00110416975115,1571183253.66,1571183253.66
zumatawwwzumatacom2,6.65818999987,6.69499999983,0.0368099999614,core 0 cpu_idle,0.000562107104411,1571183253.66,1571183253.69
zumatawwwzumatacom2,6.69499999983,6.69516899996,0.000169000122696,core 0 cpu_frequency,6.82783817709e-05,1571183253.69,1571183253.7
zumatawwwzumatacom2,6.69516899996,6.70687999995,0.0117109999992,core 0 cpu_idle,0.000178832825488,1571183253.7,1571183253.71
