smashingmagazinewwwsmashingmagazinecom2,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
smashingmagazinewwwsmashingmagazinecom2,6.96245800005,6.96255499963,9.69995744526e-05,core 0 cpu_frequency,3.91532380306e-05,1571193255.96,1571193255.96
smashingmagazinewwwsmashingmagazinecom2,6.96255499963,6.96273599984,0.00018100021407,core 0 cpu_idle,2.76142976596e-06,1571193255.96,1571193255.96
smashingmagazinewwwsmashingmagazinecom2,6.96273599984,6.9631409999,0.000405000057071,core 0 cpu_frequency,0.000163475600037,1571193255.96,1571193255.96
smashingmagazinewwwsmashingmagazinecom2,6.9631409999,6.96718399972,0.00404299981892,core 0 cpu_idle,6.16820267374e-05,1571193255.96,1571193255.97
smashingmagazinewwwsmashingmagazinecom2,6.96718399972,7.01280099992,0.0456170001999,core 0 cpu_frequency,0.0184130010585,1571193255.97,1571193256.01
smashingmagazinewwwsmashingmagazinecom2,7.01280099992,7.01321,0.000409000087529,core 0 cpu_idle,6.23990983539e-06,1571193256.01,1571193256.01
smashingmagazinewwwsmashingmagazinecom2,7.01321,7.01339899981,0.000188999809325,core 0 cpu_frequency,7.62885256352e-05,1571193256.01,1571193256.01
smashingmagazinewwwsmashingmagazinecom2,7.01339899981,7.01349699963,9.79998148978e-05,core 0 cpu_frequency,3.95569784847e-05,1571193256.01,1571193256.01
smashingmagazinewwwsmashingmagazinecom2,7.01349699963,7.06318599964,0.0496890000068,core 0 cpu_idle,0.000758080228603,1571193256.01,1571193256.06
smashingmagazinewwwsmashingmagazinecom2,7.06318599964,7.06336799962,0.000181999988854,core 0 cpu_frequency,7.3463094301e-05,1571193256.06,1571193256.06
smashingmagazinewwwsmashingmagazinecom2,7.06336799962,7.0635139998,0.000146000180393,core 0 cpu_frequency,5.89320092146e-05,1571193256.06,1571193256.06
smashingmagazinewwwsmashingmagazinecom2,7.0635139998,7.10340899974,0.0398949999362,core 0 cpu_idle,0.000608658066527,1571193256.06,1571193256.1
smashingmagazinewwwsmashingmagazinecom2,7.10340899974,7.10359499976,0.000186000019312,core 0 cpu_frequency,7.50776801951e-05,1571193256.1,1571193256.1
smashingmagazinewwwsmashingmagazinecom2,7.10359499976,7.1126819998,0.0090870000422,core 0 cpu_frequency,0.00366790759283,1571193256.1,1571193256.11
smashingmagazinewwwsmashingmagazinecom2,7.1126819998,7.16318499995,0.0505030001514,core 0 cpu_idle,0.000770499021809,1571193256.11,1571193256.16
smashingmagazinewwwsmashingmagazinecom2,7.16318499995,7.16337199975,0.000186999794096,core 0 cpu_frequency,7.54812326881e-05,1571193256.16,1571193256.16
smashingmagazinewwwsmashingmagazinecom2,7.16337199975,7.2120889998,0.0487170000561,core 0 cpu_frequency,0.0196642955404,1571193256.16,1571193256.21
smashingmagazinewwwsmashingmagazinecom2,7.2120889998,7.21252599964,0.000436999835074,core 0 cpu_idle,6.66708798381e-06,1571193256.21,1571193256.21
smashingmagazinewwwsmashingmagazinecom2,7.21252599964,7.21264200006,0.00011600041762,core 0 cpu_frequency,4.68228029695e-05,1571193256.21,1571193256.21
smashingmagazinewwwsmashingmagazinecom2,7.21264200006,7.21278199973,0.000139999669045,core 0 cpu_idle,2.13590495079e-06,1571193256.21,1571193256.21
smashingmagazinewwwsmashingmagazinecom2,7.21278199973,7.21283299988,5.10001555085e-05,core 0 cpu_frequency,2.058587617e-05,1571193256.21,1571193256.21
smashingmagazinewwwsmashingmagazinecom2,7.21283299988,7.24686499964,0.0340319997631,core 0 cpu_idle,0.000519209204386,1571193256.21,1571193256.25
smashingmagazinewwwsmashingmagazinecom2,7.24686499964,7.24704599986,0.00018100021407,core 0 cpu_frequency,7.3059541808e-05,1571193256.25,1571193256.25
smashingmagazinewwwsmashingmagazinecom2,7.24704599986,7.24766799994,0.000622000079602,core 0 cpu_frequency,0.000251066226931,1571193256.25,1571193256.25
smashingmagazinewwwsmashingmagazinecom2,7.24766799994,7.35365299974,0.105984999798,core 0 cpu_idle,0.00161696014942,1571193256.25,1571193256.35
smashingmagazinewwwsmashingmagazinecom2,7.35365299974,7.35383499973,0.000181999988854,core 0 cpu_frequency,7.3463094301e-05,1571193256.35,1571193256.35
smashingmagazinewwwsmashingmagazinecom2,7.35383499973,7.36265899986,0.00882400013506,core 0 cpu_frequency,0.00356174941612,1571193256.35,1571193256.36
smashingmagazinewwwsmashingmagazinecom2,7.36265899986,7.399981,0.0373220001347,core 0 cpu_idle,0.000569403095056,1571193256.36,1571193256.4
smashingmagazinewwwsmashingmagazinecom2,7.399981,7.40016599977,0.000184999778867,core 0 cpu_frequency,7.4673939741e-05,1571193256.4,1571193256.4
smashingmagazinewwwsmashingmagazinecom2,7.40016599977,7.40163500002,0.00146900024265,core 0 cpu_frequency,0.000592952252544,1571193256.4,1571193256.4
smashingmagazinewwwsmashingmagazinecom2,7.40163500002,7.45850399975,0.0568689997308,core 0 cpu_idle,0.000867621894393,1571193256.4,1571193256.46
smashingmagazinewwwsmashingmagazinecom2,7.45850399975,7.45860400004,0.000100000295788,core 0 cpu_frequency,4.03644593929e-05,1571193256.46,1571193256.46
smashingmagazinewwwsmashingmagazinecom2,7.45860400004,7.45870899968,0.000104999635369,core 0 cpu_idle,1.601926937e-06,1571193256.46,1571193256.46
smashingmagazinewwwsmashingmagazinecom2,7.45870899968,7.45881999983,0.000111000146717,core 0 cpu_frequency,4.48044766213e-05,1571193256.46,1571193256.46
smashingmagazinewwwsmashingmagazinecom2,7.45881999983,7.46607099986,0.00725100003183,core 0 cpu_idle,0.000110624881986,1571193256.46,1571193256.47
smashingmagazinewwwsmashingmagazinecom2,7.46607099986,7.46620499995,0.00013400008902,core 0 cpu_frequency,5.40882515321e-05,1571193256.47,1571193256.47
smashingmagazinewwwsmashingmagazinecom2,7.46620499995,7.48623599997,0.0200310000218,core 0 cpu_idle,0.000305602951833,1571193256.47,1571193256.49
smashingmagazinewwwsmashingmagazinecom2,7.48623599997,7.48629999999,6.40000216663e-05,core 0 cpu_frequency,2.58331863455e-05,1571193256.49,1571193256.49
smashingmagazinewwwsmashingmagazinecom2,7.48629999999,7.51300699962,0.0267069996335,core 0 cpu_idle,0.000407455339908,1571193256.49,1571193256.51
smashingmagazinewwwsmashingmagazinecom2,7.51300699962,7.51352000004,0.000513000413775,core 0 cpu_frequency,0.000207069231218,1571193256.51,1571193256.51
smashingmagazinewwwsmashingmagazinecom2,7.51352000004,7.53884399962,0.02532399958,core 0 cpu_idle,0.000386355599592,1571193256.51,1571193256.54
smashingmagazinewwwsmashingmagazinecom2,7.53884399962,7.53934299992,0.000499000307173,core 0 cpu_frequency,0.000201418180588,1571193256.54,1571193256.54
smashingmagazinewwwsmashingmagazinecom2,7.53934299992,7.5394009999,5.79999759793e-05,core 0 cpu_frequency,2.34113075042e-05,1571193256.54,1571193256.54
