soundslicewwwsoundslicecom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
soundslicewwwsoundslicecom1,6.88216099981,6.9025279996,0.0203669997863,core 0 cpu_idle,0.000310515278743,1571185703.88,1571185703.9
soundslicewwwsoundslicecom1,6.9025279996,6.90265599964,0.000128000043333,core 0 cpu_frequency,5.16308142789e-05,1571185703.9,1571185703.9
soundslicewwwsoundslicecom1,6.90265599964,6.92260199971,0.0199460000731,core 0 cpu_idle,0.000304096717115,1571185703.9,1571185703.92
soundslicewwwsoundslicecom1,6.92260199971,6.92260499997,3.00025567412e-06,core 0 cpu_frequency,1.21019993015e-06,1571185703.92,1571185703.92
soundslicewwwsoundslicecom1,6.92260499997,6.94268599991,0.0200809999369,core 0 cpu_idle,0.000306154925038,1571185703.92,1571185703.94
soundslicewwwsoundslicecom1,6.94268599991,6.94528999971,0.00260399980471,core 0 cpu_frequency,0.00105036394362,1571185703.94,1571185703.95
soundslicewwwsoundslicecom1,6.94528999971,6.96254299954,0.0172529998235,core 0 cpu_idle,0.00026303923531,1571185703.95,1571185703.96
soundslicewwwsoundslicecom1,6.96254299954,6.9626819999,0.000139000359923,core 0 cpu_frequency,5.60679635804e-05,1571185703.96,1571185703.96
soundslicewwwsoundslicecom1,6.9626819999,6.98425699957,0.0215749996714,core 0 cpu_idle,0.000328932444991,1571185703.96,1571185703.98
soundslicewwwsoundslicecom1,6.98425699957,6.9846549998,0.000398000236601,core 0 cpu_frequency,0.000160539604237,1571185703.98,1571185703.98
soundslicewwwsoundslicecom1,6.9846549998,7.00556699978,0.0209119999781,core 0 cpu_idle,0.000318824351666,1571185703.98,1571185704.01
soundslicewwwsoundslicecom1,7.00556699978,7.00690199994,0.00133500015363,core 0 cpu_frequency,0.000538493137969,1571185704.01,1571185704.01
soundslicewwwsoundslicecom1,7.00690199994,7.02363899956,0.0167369996198,core 0 cpu_idle,0.000255172296203,1571185704.01,1571185704.02
soundslicewwwsoundslicecom1,7.02363899956,7.0253399997,0.00170100014657,core 0 cpu_frequency,0.00068612494472,1571185704.02,1571185704.03
soundslicewwwsoundslicecom1,7.0253399997,7.04427399952,0.0189339998178,core 0 cpu_idle,0.000288667761222,1571185704.03,1571185704.04
soundslicewwwsoundslicecom1,7.04427399952,7.04440099979,0.000127000268549,core 0 cpu_frequency,5.12275395233e-05,1571185704.04,1571185704.04
soundslicewwwsoundslicecom1,7.04440099979,7.07652499992,0.0321240001358,core 0 cpu_idle,0.000489762506071,1571185704.04,1571185704.08
