soundslicewwwsoundslicecom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
soundslicewwwsoundslicecom1,6.67627699999,6.677226,0.000949000008404,core 0 cpu_idle,1.44285961278e-05,1571179088.68,1571179088.68
soundslicewwwsoundslicecom1,6.677226,6.67723000003,4.00003045797e-06,core 0 cpu_frequency,1.60902985185e-06,1571179088.68,1571179088.68
soundslicewwwsoundslicecom1,6.67723000003,6.68102299981,0.00379299977794,core 0 cpu_idle,5.76687686238e-05,1571179088.68,1571179088.68
soundslicewwwsoundslicecom1,6.68102299981,6.68103800016,1.5000347048e-05,core 0 cpu_frequency,6.0339556016e-06,1571179088.68,1571179088.68
soundslicewwwsoundslicecom1,6.68103800016,6.70179100009,0.0207529999316,core 0 cpu_idle,0.00031552861096,1571179088.68,1571179088.7
soundslicewwwsoundslicecom1,6.70179100009,6.70210700016,0.000316000077873,core 0 cpu_frequency,0.000127112421725,1571179088.7,1571179088.7
soundslicewwwsoundslicecom1,6.70210700016,6.716304,0.0141969998367,core 0 cpu_idle,0.000215851185517,1571179088.7,1571179088.72
soundslicewwwsoundslicecom1,6.716304,6.71694299998,0.000638999976218,core 0 cpu_frequency,0.000257040552033,1571179088.72,1571179088.72
soundslicewwwsoundslicecom1,6.71694299998,6.75638200017,0.0394390001893,core 0 cpu_idle,0.000599630558878,1571179088.72,1571179088.76
soundslicewwwsoundslicecom1,6.75638200017,6.75638299994,9.9977478385e-07,core 0 cpu_frequency,4.02163805813e-07,1571179088.76,1571179088.76
soundslicewwwsoundslicecom1,6.75638299994,6.76361399982,0.00723099987954,core 0 cpu_idle,0.000109940122169,1571179088.76,1571179088.76
soundslicewwwsoundslicecom1,6.76361399982,6.76422199979,0.000607999972999,core 0 cpu_frequency,0.000244570664339,1571179088.76,1571179088.76
soundslicewwwsoundslicecom1,6.76422199979,6.78385599982,0.0196340000257,core 0 cpu_idle,0.000298515336391,1571179088.76,1571179088.78
soundslicewwwsoundslicecom1,6.78385599982,6.78392399987,6.80000521243e-05,core 0 cpu_frequency,2.73533201672e-05,1571179088.78,1571179088.78
soundslicewwwsoundslicecom1,6.78392399987,6.81323600002,0.0293120001443,core 0 cpu_idle,0.000445659650194,1571179088.78,1571179088.81
soundslicewwwsoundslicecom1,6.81323600002,6.81330200005,6.60000368953e-05,core 0 cpu_frequency,2.65488052413e-05,1571179088.81,1571179088.81
soundslicewwwsoundslicecom1,6.81330200005,6.81368600018,0.000384000129998,core 0 cpu_idle,5.83833797649e-06,1571179088.81,1571179088.81
soundslicewwwsoundslicecom1,6.81368600018,6.81372600002,3.99998389184e-05,core 0 cpu_frequency,1.60901112042e-05,1571179088.81,1571179088.81
soundslicewwwsoundslicecom1,6.81372600002,6.83397299983,0.0202469998039,core 0 cpu_idle,0.000307835385019,1571179088.81,1571179088.83
soundslicewwwsoundslicecom1,6.83397299983,6.83404600015,7.30003230274e-05,core 0 cpu_frequency,2.93647011392e-05,1571179088.83,1571179088.83
soundslicewwwsoundslicecom1,6.83404600015,6.84566699993,0.0116209997796,core 0 cpu_idle,0.000176685680648,1571179088.83,1571179088.85
soundslicewwwsoundslicecom1,6.84566699993,6.84696300002,0.0012960000895,core 0 cpu_frequency,0.0005213217384,1571179088.85,1571179088.85
soundslicewwwsoundslicecom1,6.84696300002,6.8658309998,0.0188679997809,core 0 cpu_idle,0.000286869068669,1571179088.85,1571179088.87
soundslicewwwsoundslicecom1,6.8658309998,6.8658400001,9.00030136108e-06,core 0 cpu_frequency,3.62041082382e-06,1571179088.87,1571179088.87
soundslicewwwsoundslicecom1,6.8658400001,6.88643199997,0.0205919998698,core 0 cpu_idle,0.00031308076602,1571179088.87,1571179088.89
soundslicewwwsoundslicecom1,6.88643199997,6.88744900003,0.00101700006053,core 0 cpu_frequency,0.000409092749148,1571179088.89,1571179088.89
soundslicewwwsoundslicecom1,6.88744900003,6.89637399977,0.00892499973997,core 0 cpu_idle,0.000135695696047,1571179088.89,1571179088.9
soundslicewwwsoundslicecom1,6.89637399977,6.89945100015,0.00307700037956,core 0 cpu_frequency,0.00123773694148,1571179088.9,1571179088.9
soundslicewwwsoundslicecom1,6.89945100015,6.91635800013,0.0169069999829,core 0 cpu_idle,0.00025705402774,1571179088.9,1571179088.92
soundslicewwwsoundslicecom1,6.91635800013,6.92014499987,0.00378699973226,core 0 cpu_frequency,0.0015233373051,1571179088.92,1571179088.92
soundslicewwwsoundslicecom1,6.92014499987,6.936766,0.0166210001335,core 0 cpu_idle,0.000252705686029,1571179088.92,1571179088.94
soundslicewwwsoundslicecom1,6.936766,6.93721800018,0.000452000182122,core 0 cpu_frequency,0.000181819062059,1571179088.94,1571179088.94
soundslicewwwsoundslicecom1,6.93721800018,6.95748199988,0.0202639997005,core 0 cpu_idle,0.000308093851447,1571179088.94,1571179088.96
soundslicewwwsoundslicecom1,6.95748199988,6.95758299995,0.000101000070572,core 0 cpu_frequency,4.06277227879e-05,1571179088.96,1571179088.96
soundslicewwwsoundslicecom1,6.95758299995,6.97631799988,0.0187349999323,core 0 cpu_idle,0.000284846938971,1571179088.96,1571179088.98
soundslicewwwsoundslicecom1,6.97631799988,6.97646200005,0.000144000165164,core 0 cpu_frequency,5.79247000381e-05,1571179088.98,1571179088.98
soundslicewwwsoundslicecom1,6.97646200005,7.01646800013,0.0400060000829,core 0 cpu_idle,0.000608251225261,1571179088.98,1571179089.02
soundslicewwwsoundslicecom1,7.01646800013,7.01831099996,0.00184299983084,core 0 cpu_frequency,0.000741354791155,1571179089.02,1571179089.02
soundslicewwwsoundslicecom1,7.01831099996,7.05634200014,0.0380310001783,core 0 cpu_idle,0.000578223326711,1571179089.02,1571179089.06
