slateslatecom2,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
slateslatecom2,6.31755199982,6.33737599989,0.0198240000755,core 0 cpu_idle,0.000301404097147,1571178913.32,1571178913.34
slateslatecom2,6.33737599989,6.33796399971,0.000587999820709,core 0 cpu_frequency,0.000236525515079,1571178913.34,1571178913.34
slateslatecom2,6.33796399971,6.35726099974,0.0192970000207,core 0 cpu_idle,0.000293391588315,1571178913.34,1571178913.36
slateslatecom2,6.35726099974,6.35727299983,1.20000913739e-05,core 0 cpu_frequency,4.82708955556e-06,1571178913.36,1571178913.36
slateslatecom2,6.35727299983,6.38295099977,0.0256779999472,core 0 cpu_idle,0.000390408311198,1571178913.36,1571178913.38
slateslatecom2,6.38295099977,6.38295399956,2.99979001284e-06,core 0 cpu_frequency,1.20667873174e-06,1571178913.38,1571178913.38
slateslatecom2,6.38295399956,6.40372599987,0.0207720003091,core 0 cpu_idle,0.000315817492699,1571178913.38,1571178913.4
slateslatecom2,6.40372599987,6.40564399958,0.00191799970344,core 0 cpu_frequency,0.000771523819906,1571178913.4,1571178913.41
slateslatecom2,6.40564399958,6.42396499962,0.0183210000396,core 0 cpu_idle,0.000278552484602,1571178913.41,1571178913.42
slateslatecom2,6.42396499962,6.42402299959,5.79999759793e-05,core 0 cpu_frequency,2.33307455376e-05,1571178913.42,1571178913.42
slateslatecom2,6.42402299959,6.42702899966,0.00300600007176,core 0 cpu_idle,4.57032250911e-05,1571178913.42,1571178913.43
slateslatecom2,6.42702899966,6.42705099983,2.20001675189e-05,core 0 cpu_frequency,8.8496641852e-06,1571178913.43,1571178913.43
slateslatecom2,6.42705099983,6.42768699955,0.000635999720544,core 0 cpu_idle,9.66973975115e-06,1571178913.43,1571178913.43
slateslatecom2,6.42768699955,6.42812399985,0.000437000300735,core 0 cpu_frequency,0.000175785293772,1571178913.43,1571178913.43
slateslatecom2,6.42812399985,6.4282089998,8.499994874e-05,core 0 cpu_frequency,3.41916033804e-05,1571178913.43,1571178913.43
slateslatecom2,6.4282089998,6.45070799952,0.0224989997223,core 0 cpu_idle,0.000342074791778,1571178913.43,1571178913.45
slateslatecom2,6.45070799952,6.45084599964,0.000138000119478,core 0 cpu_frequency,5.55111552604e-05,1571178913.45,1571178913.45
