alibabawwwalibabacom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
alibabawwwalibabacom1,6.71530000027,6.73703700025,0.0217369999737,core 0 cpu_idle,0.000331858778598,1571192171.72,1571192171.74
alibabawwwalibabacom1,6.73703700025,6.73713000026,9.3000009656e-05,core 0 cpu_frequency,3.75646755002e-05,1571192171.74,1571192171.74
alibabawwwalibabacom1,6.73713000026,6.76209400035,0.0249640000984,core 0 cpu_idle,0.000381125389502,1571192171.74,1571192171.76
alibabawwwalibabacom1,6.76209400035,6.76216399996,6.9999601692e-05,core 0 cpu_frequency,2.82743231149e-05,1571192171.76,1571192171.76
alibabawwwalibabacom1,6.76216399996,6.77685800008,0.0146940001287,core 0 cpu_idle,0.000224333299964,1571192171.76,1571192171.78
alibabawwwalibabacom1,6.77685800008,6.77692600014,6.80000521243e-05,core 0 cpu_frequency,2.74666626541e-05,1571192171.78,1571192171.78
alibabawwwalibabacom1,6.77692600014,6.79201600002,0.0150899998844,core 0 cpu_idle,0.000230379028235,1571192171.78,1571192171.79
alibabawwwalibabacom1,6.79201600002,6.79300700035,0.000991000328213,core 0 cpu_frequency,0.000400286041772,1571192171.79,1571192171.79
alibabawwwalibabacom1,6.79300700035,6.79404000007,0.0010329997167,core 0 cpu_idle,1.57708066748e-05,1571192171.79,1571192171.79
alibabawwwalibabacom1,6.79404000007,6.79422400007,0.000184000004083,core 0 cpu_frequency,7.43215024492e-05,1571192171.79,1571192171.79
alibabawwwalibabacom1,6.79422400007,6.79878900014,0.0045650000684,core 0 cpu_idle,6.96938560442e-05,1571192171.79,1571192171.8
alibabawwwalibabacom1,6.79878900014,6.79889400024,0.00010500010103,core 0 cpu_frequency,4.24117668081e-05,1571192171.8,1571192171.8
alibabawwwalibabacom1,6.79889400024,6.82034300035,0.021449000109,core 0 cpu_idle,0.000327461884664,1571192171.8,1571192171.82
alibabawwwalibabacom1,6.82034300035,6.82049800036,0.000155000016093,core 0 cpu_frequency,6.26077925004e-05,1571192171.82,1571192171.82
