PWA,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
zumatawwwzumatacom1,6.25130400015,6.26713900035,0.0158350002021,core 0 cpu_idle,0.000241032455576,1570802709.25,1570802709.27
zumatawwwzumatacom1,6.26713900035,6.2678620005,0.000723000150174,core 0 cpu_frequency,0.000291164740678,1570802709.27,1570802709.27
zumatawwwzumatacom1,6.2678620005,6.28711900022,0.0192569997162,core 0 cpu_idle,0.00029312042118,1570802709.27,1570802709.29
zumatawwwzumatacom1,6.28711900022,6.29170500021,0.00458599999547,core 0 cpu_frequency,0.00184686199458,1570802709.29,1570802709.29
zumatawwwzumatacom1,6.29170500021,6.30826100009,0.0165559998713,core 0 cpu_idle,0.000252007152042,1570802709.29,1570802709.31
zumatawwwzumatacom1,6.30826100009,6.30967600038,0.00141500029713,core 0 cpu_frequency,0.000569845240659,1570802709.31,1570802709.31
zumatawwwzumatacom1,6.30967600038,6.36717400048,0.0574980000965,core 0 cpu_idle,0.000875205808469,1570802709.31,1570802709.37
zumatawwwzumatacom1,6.36717400048,6.37337300042,0.00619899993762,core 0 cpu_frequency,0.00249644513748,1570802709.37,1570802709.37
zumatawwwzumatacom1,6.37337300042,6.38708800031,0.0137149998918,core 0 cpu_idle,0.000208762870853,1570802709.37,1570802709.39
zumatawwwzumatacom1,6.38708800031,6.38747600047,0.000388000160456,core 0 cpu_frequency,0.000156254415818,1570802709.39,1570802709.39
zumatawwwzumatacom1,6.38747600047,6.40711200051,0.0196360000409,core 0 cpu_idle,0.000298889374623,1570802709.39,1570802709.41
zumatawwwzumatacom1,6.40711200051,6.40721600037,0.000103999860585,core 0 cpu_frequency,4.1882553455e-05,1570802709.41,1570802709.41
zumatawwwzumatacom1,6.40721600037,6.42703100014,0.0198149997741,core 0 cpu_idle,0.000301614019061,1570802709.41,1570802709.43
zumatawwwzumatacom1,6.42703100014,6.42849400034,0.00146300019696,core 0 cpu_frequency,0.000589175635521,1570802709.43,1570802709.43
zumatawwwzumatacom1,6.42849400034,6.48807700025,0.0595829999074,core 0 cpu_idle,0.000906942633091,1570802709.43,1570802709.49
zumatawwwzumatacom1,6.48807700025,6.4900360005,0.00195900024846,core 0 cpu_frequency,0.00078892348666,1570802709.49,1570802709.49
zumatawwwzumatacom1,6.4900360005,6.50918300031,0.0191469998099,core 0 cpu_idle,0.000291446057606,1570802709.49,1570802709.51
zumatawwwzumatacom1,6.50918300031,6.51021300023,0.00102999992669,core 0 cpu_frequency,0.000414798892475,1570802709.51,1570802709.51
zumatawwwzumatacom1,6.51021300023,6.52757400041,0.0173610001802,core 0 cpu_idle,0.000264260464244,1570802709.51,1570802709.53
zumatawwwzumatacom1,6.52757400041,6.52920300048,0.00162900006399,core 0 cpu_frequency,0.000656026670368,1570802709.53,1570802709.53
