"","pwa_name","pwa_start_time","pwa_end_time","pwa_load_time","type","experiment"
"68","https://edgy.app",1571179792.066,1571179792.227,0.16100001335144,"cache",4
"70","https://www.soundslice.com",1571179860.225,1571179860.364,0.139000177383423,"cache",4
"72","https://www.nrw-tourismus.de",1571179930.485,1571179930.908,0.42300009727478,"cache",4
"74","https://www.petlove.com.br",1571180078.707,1571180079.002,0.295000076293945,"cache",5
"76","https://m.alibaba.com/",1571180156.969,1571180157.721,0.751999855041504,"cache",5
"78","https://nylon.com",1571180237.466,1571180238.109,0.642999887466431,"cache",5
"80","https://www.zumata.com",1571180313.3,1571180313.851,0.551000118255615,"cache",5
"82","https://slate.com",1571180387.15,1571180387.832,0.681999921798706,"cache",5
"84","https://www.smashingmagazine.com",1571180459.498,1571180460,0.502000093460083,"cache",5
"86","https://edgy.app",1571180528.42,1571180528.589,0.168999910354614,"cache",5
"88","https://www.soundslice.com",1571180596.998,1571180597.107,0.109000205993652,"cache",5
"90","https://www.nrw-tourismus.de",1571180666.391,1571180666.984,0.592999935150146,"cache",5
"92","https://www.petlove.com.br",1571180814.063,1571180814.314,0.250999927520752,"cache",6
"94","https://m.alibaba.com/",1571180891.248,1571180891.816,0.568000078201294,"cache",6
"96","https://nylon.com",1571180972.974,1571180973.445,0.470999956130981,"cache",6
"98","https://www.zumata.com",1571181049.674,1571181050.369,0.694999933242798,"cache",6
"100","https://slate.com",1571181124.593,1571181125.24,0.647000074386597,"cache",6
"102","https://www.smashingmagazine.com",1571181199.03,1571181199.401,0.371000051498413,"cache",6
"104","https://edgy.app",1571181267.165,1571181267.328,0.163000106811523,"cache",6
"106","https://www.soundslice.com",1571181334.518,1571181334.617,0.0990002155303955,"cache",6
"108","https://www.nrw-tourismus.de",1571181403.735,1571181404.162,0.427000045776367,"cache",6
"110","https://www.petlove.com.br",1571181552.352,1571181552.709,0.357000112533569,"cache",7
"112","https://m.alibaba.com/",1571181629.779,1571181630.313,0.533999919891357,"cache",7
"114","https://nylon.com",1571181710.933,1571181711.384,0.450999975204468,"cache",7
"116","https://www.zumata.com",1571181787,1571181787.862,0.861999988555908,"cache",7
"118","https://slate.com",1571181861.821,1571181862.731,0.909999847412109,"cache",7
"120","https://www.smashingmagazine.com",1571181936.229,1571181936.63,0.401000022888184,"cache",7
"122","https://edgy.app",1571182004.971,1571182005.126,0.154999971389771,"cache",7
"124","https://www.soundslice.com",1571182072.436,1571182072.594,0.157999992370605,"cache",7
"126","https://www.nrw-tourismus.de",1571182142.209,1571182142.629,0.419999837875366,"cache",7
"128","https://www.petlove.com.br",1571182289.623,1571182290.017,0.394000053405762,"cache",8
"130","https://m.alibaba.com/",1571182367.955,1571182368.421,0.466000080108643,"cache",8
"132","https://nylon.com",1571182446.763,1571182447.243,0.480000019073486,"cache",8
"134","https://www.zumata.com",1571182521.94,1571182522.681,0.740999937057495,"cache",8
"136","https://slate.com",1571182595.433,1571182596.202,0.768999814987183,"cache",8
"138","https://www.smashingmagazine.com",1571182668.698,1571182669.046,0.348000049591064,"cache",8
"140","https://edgy.app",1571182734.797,1571182734.969,0.172000169754028,"cache",8
"142","https://www.soundslice.com",1571182803.31,1571182803.404,0.0940001010894775,"cache",8
"144","https://www.nrw-tourismus.de",1571182872.92,1571182873.321,0.401000022888184,"cache",8
"146","https://www.petlove.com.br",1571183021.099,1571183021.451,0.351999998092651,"cache",9
"148","https://m.alibaba.com/",1571183097.249,1571183097.904,0.654999971389771,"cache",9
"150","https://nylon.com",1571183177.451,1571183177.966,0.515000104904175,"cache",9
"152","https://www.zumata.com",1571183253.034,1571183253.57,0.53600001335144,"cache",9
"154","https://slate.com",1571183327.134,1571183327.791,0.656999826431274,"cache",9
"156","https://www.smashingmagazine.com",1571183399.991,1571183400.384,0.39300012588501,"cache",9
"158","https://edgy.app",1571183468.348,1571183468.505,0.157000064849854,"cache",9
"160","https://www.soundslice.com",1571183536.47,1571183536.567,0.0969998836517334,"cache",9
