smashingmagazinewwwsmashingmagazinecom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
smashingmagazinewwwsmashingmagazinecom1,0.0,6.29444200033,6.29444200033,core 0 cpu_idle start,0.0964056736771,1571189514.0,1571189520.29
smashingmagazinewwwsmashingmagazinecom1,6.29444200033,6.29462700011,0.000184999778867,core 0 cpu_idle,2.83345661312e-06,1571189520.29,1571189520.29
smashingmagazinewwwsmashingmagazinecom1,6.29462700011,6.296416,0.00178899988532,core 0 cpu_frequency,0.00072493423993,1571189520.29,1571189520.3
smashingmagazinewwwsmashingmagazinecom1,6.296416,6.3000330003,0.00361700030044,core 0 cpu_idle,5.53979766015e-05,1571189520.3,1571189520.3
smashingmagazinewwwsmashingmagazinecom1,6.3000330003,6.30056000035,0.000527000054717,core 0 cpu_frequency,0.000213549697372,1571189520.3,1571189520.3
smashingmagazinewwwsmashingmagazinecom1,6.30056000035,6.32069700025,0.0201369998977,core 0 cpu_idle,0.000308418290433,1571189520.3,1571189520.32
smashingmagazinewwwsmashingmagazinecom1,6.32069700025,6.32073500007,3.79998236895e-05,core 0 cpu_frequency,1.53981973559e-05,1571189520.32,1571189520.32
smashingmagazinewwwsmashingmagazinecom1,6.32073500007,6.34075700026,0.0200220001861,core 0 cpu_idle,0.000306656954851,1571189520.32,1571189520.34
smashingmagazinewwwsmashingmagazinecom1,6.34075700026,6.34083300037,7.60001130402e-05,core 0 cpu_frequency,3.07965834059e-05,1571189520.34,1571189520.34
smashingmagazinewwwsmashingmagazinecom1,6.34083300037,6.34648700012,0.00565399974585,core 0 cpu_idle,8.65966601074e-05,1571189520.34,1571189520.35
smashingmagazinewwwsmashingmagazinecom1,6.34648700012,6.34653600026,4.90001402795e-05,core 0 cpu_frequency,1.98557192437e-05,1571189520.35,1571189520.35
smashingmagazinewwwsmashingmagazinecom1,6.34653600026,6.34739700006,0.00086099980399,core 0 cpu_idle,1.31870729979e-05,1571189520.35,1571189520.35
smashingmagazinewwwsmashingmagazinecom1,6.34739700006,6.34748400003,8.6999963969e-05,core 0 cpu_frequency,3.52539165996e-05,1571189520.35,1571189520.35
smashingmagazinewwwsmashingmagazinecom1,6.34748400003,6.36025200039,0.0127680003643,core 0 cpu_idle,0.00019555469358,1571189520.35,1571189520.36
smashingmagazinewwwsmashingmagazinecom1,6.36025200039,6.36026300024,1.09998509288e-05,core 0 cpu_frequency,4.45733319372e-06,1571189520.36,1571189520.36
smashingmagazinewwwsmashingmagazinecom1,6.36026300024,6.36473200005,0.00446899980307,core 0 cpu_idle,6.84472009838e-05,1571189520.36,1571189520.36
smashingmagazinewwwsmashingmagazinecom1,6.36473200005,6.36474300036,1.10003165901e-05,core 0 cpu_frequency,4.45752188787e-06,1571189520.36,1571189520.36
smashingmagazinewwwsmashingmagazinecom1,6.36474300036,6.366438,0.00169499963522,core 0 cpu_idle,2.5960614413e-05,1571189520.36,1571189520.37
smashingmagazinewwwsmashingmagazinecom1,6.366438,6.36648600036,4.80003654957e-05,core 0 cpu_frequency,1.94505929053e-05,1571189520.37,1571189520.37
smashingmagazinewwwsmashingmagazinecom1,6.36648600036,6.38664699998,0.0201609996147,core 0 cpu_idle,0.000308785870099,1571189520.37,1571189520.39
smashingmagazinewwwsmashingmagazinecom1,6.38664699998,6.38824900007,0.00160200009122,core 0 cpu_frequency,0.000649158632166,1571189520.39,1571189520.39
smashingmagazinewwwsmashingmagazinecom1,6.38824900007,6.40700000012,0.0187510000542,core 0 cpu_idle,0.00028719031683,1571189520.39,1571189520.41
smashingmagazinewwwsmashingmagazinecom1,6.40700000012,6.41003200039,0.00303200026974,core 0 cpu_frequency,0.0012286198725,1571189520.41,1571189520.41
smashingmagazinewwwsmashingmagazinecom1,6.41003200039,6.42520100018,0.0151689997874,core 0 cpu_idle,0.000232328400744,1571189520.41,1571189520.43
smashingmagazinewwwsmashingmagazinecom1,6.42520100018,6.42534200009,0.00014099990949,core 0 cpu_frequency,5.71356449239e-05,1571189520.43,1571189520.43
smashingmagazinewwwsmashingmagazinecom1,6.42534200009,6.4334470001,0.00810500001535,core 0 cpu_idle,0.000124136180235,1571189520.43,1571189520.43
smashingmagazinewwwsmashingmagazinecom1,6.4334470001,6.43503600033,0.00158900022507,core 0 cpu_frequency,0.000643890857601,1571189520.43,1571189520.44
smashingmagazinewwwsmashingmagazinecom1,6.43503600033,6.45402800012,0.0189919997938,core 0 cpu_idle,0.000290881468842,1571189520.44,1571189520.45
