nylonnyloncom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
nylonnyloncom1,0.0,6.22064900026,6.22064900026,core 0 cpu_idle start,0.0947529255719,1571177245.0,1571177251.22
nylonnyloncom1,6.22064900026,6.244618,0.0239689997397,core 0 cpu_idle,0.000365095804036,1571177251.22,1571177251.24
nylonnyloncom1,6.244618,6.24467799999,5.99999912083e-05,core 0 cpu_frequency,2.4179708457e-05,1571177251.24,1571177251.24
nylonnyloncom1,6.24467799999,6.26422500005,0.0195470000617,core 0 cpu_idle,0.00029773990494,1571177251.24,1571177251.26
nylonnyloncom1,6.26422500005,6.26426600013,4.10000793636e-05,core 0 cpu_frequency,1.65228351831e-05,1571177251.26,1571177251.26
nylonnyloncom1,6.26426600013,6.26542100031,0.00115500018001,core 0 cpu_idle,1.75929627419e-05,1571177251.26,1571177251.27
nylonnyloncom1,6.26542100031,6.26567699993,0.000255999621004,core 0 cpu_frequency,0.000103166618466,1571177251.27,1571177251.27
nylonnyloncom1,6.26567699993,6.28602,0.0203430000693,core 0 cpu_idle,0.000309864577055,1571177251.27,1571177251.29
nylonnyloncom1,6.28602,6.28608500026,6.50002621114e-05,core 0 cpu_frequency,2.61947936296e-05,1571177251.29,1571177251.29
nylonnyloncom1,6.28608500026,6.29137400026,0.00528899999335,core 0 cpu_idle,8.05620478988e-05,1571177251.29,1571177251.29
nylonnyloncom1,6.29137400026,6.29195400001,0.000579999759793,core 0 cpu_frequency,0.000233737119198,1571177251.29,1571177251.29
nylonnyloncom1,6.29195400001,6.31233299989,0.0203789998777,core 0 cpu_idle,0.000310412926137,1571177251.29,1571177251.31
nylonnyloncom1,6.31233299989,6.31238300027,5.00003807247e-05,core 0 cpu_frequency,2.01499134302e-05,1571177251.31,1571177251.31
nylonnyloncom1,6.31238300027,6.31481100013,0.00242799986154,core 0 cpu_idle,3.6983293891e-05,1571177251.31,1571177251.31
nylonnyloncom1,6.31481100013,6.31484899996,3.79998236895e-05,core 0 cpu_frequency,1.53137465477e-05,1571177251.31,1571177251.31
nylonnyloncom1,6.31484899996,6.31681600027,0.00196700030938,core 0 cpu_idle,2.99613487124e-05,1571177251.31,1571177251.32
nylonnyloncom1,6.31681600027,6.31735200016,0.000535999890417,core 0 cpu_frequency,0.000216005383039,1571177251.32,1571177251.32
nylonnyloncom1,6.31735200016,6.33111499995,0.0137629997917,core 0 cpu_idle,0.000209638012826,1571177251.32,1571177251.33
nylonnyloncom1,6.33111499995,6.33114100015,2.60001979768e-05,core 0 cpu_frequency,1.04779549837e-05,1571177251.33,1571177251.33
nylonnyloncom1,6.33114100015,6.351303,0.0201619998552,core 0 cpu_idle,0.000307107581794,1571177251.33,1571177251.35
nylonnyloncom1,6.351303,6.35140600009,0.000103000085801,core 0 cpu_frequency,4.15085401773e-05,1571177251.35,1571177251.35
nylonnyloncom1,6.35140600009,6.36462899996,0.0132229998708,core 0 cpu_idle,0.000201412734032,1571177251.35,1571177251.36
nylonnyloncom1,6.36462899996,6.36466800002,3.90000641346e-05,core 0 cpu_frequency,1.57168386459e-05,1571177251.36,1571177251.36
nylonnyloncom1,6.36466800002,6.38467899989,0.0200109998696,core 0 cpu_idle,0.000304807550013,1571177251.36,1571177251.38
nylonnyloncom1,6.38467899989,6.38480299991,0.000124000012875,core 0 cpu_frequency,4.99714099884e-05,1571177251.38,1571177251.38
nylonnyloncom1,6.38480299991,6.39679699996,0.0119940000586,core 0 cpu_idle,0.000182692608893,1571177251.38,1571177251.4
nylonnyloncom1,6.39679699996,6.39724000031,0.000443000346422,core 0 cpu_frequency,0.000178527013206,1571177251.4,1571177251.4
nylonnyloncom1,6.39724000031,6.41318800021,0.0159479998983,core 0 cpu_idle,0.000242919934452,1571177251.4,1571177251.41
nylonnyloncom1,6.41318800021,6.41331900004,0.000130999833345,core 0 cpu_frequency,5.2792304039e-05,1571177251.41,1571177251.41
nylonnyloncom1,6.41331900004,6.41376100015,0.000442000105977,core 0 cpu_idle,6.73254561424e-06,1571177251.41,1571177251.41
nylonnyloncom1,6.41376100015,6.41564500006,0.00188399991021,core 0 cpu_frequency,0.000759242920613,1571177251.41,1571177251.42
nylonnyloncom1,6.41564500006,6.43460100004,0.0189559999853,core 0 cpu_idle,0.000288737791777,1571177251.42,1571177251.43
nylonnyloncom1,6.43460100004,6.4346690001,6.80000521243e-05,core 0 cpu_frequency,2.74036946058e-05,1571177251.43,1571177251.43
nylonnyloncom1,6.4346690001,6.45581800025,0.0211490001529,core 0 cpu_idle,0.00032214157033,1571177251.43,1571177251.46
nylonnyloncom1,6.45581800025,6.45691000018,0.00109199993312,core 0 cpu_frequency,0.000440070731449,1571177251.46,1571177251.46
nylonnyloncom1,6.45691000018,6.46456900006,0.00765899987891,core 0 cpu_idle,0.000116661886156,1571177251.46,1571177251.46
nylonnyloncom1,6.46456900006,6.46511600027,0.000547000207007,core 0 cpu_frequency,0.000220438457823,1571177251.46,1571177251.47
nylonnyloncom1,6.46511600027,6.48467200017,0.0195559998974,core 0 cpu_idle,0.000297876990438,1571177251.47,1571177251.48
nylonnyloncom1,6.48467200017,6.48832900031,0.00365700013936,core 0 cpu_frequency,0.00147375350256,1571177251.48,1571177251.49
nylonnyloncom1,6.48832900031,6.51221000031,0.023881000001,core 0 cpu_idle,0.000363755392015,1571177251.49,1571177251.51
nylonnyloncom1,6.51221000031,6.5132840001,0.00107399979606,core 0 cpu_frequency,0.000432816762614,1571177251.51,1571177251.51
nylonnyloncom1,6.5132840001,6.53102499992,0.0177409998141,core 0 cpu_idle,0.000270230909169,1571177251.51,1571177251.53
nylonnyloncom1,6.53102499992,6.53126100032,0.000236000400037,core 0 cpu_frequency,9.51070284128e-05,1571177251.53,1571177251.53
nylonnyloncom1,6.53126100032,6.56464300025,0.033381999936,core 0 cpu_idle,0.000508474623024,1571177251.53,1571177251.56
