slateslatecom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
slateslatecom1,0.0,6.26020499971,6.26020499971,core 0 cpu_idle start,0.0953554425555,1571177396.0,1571177402.26
slateslatecom1,6.26020499971,6.28314699978,0.0229420000687,core 0 cpu_idle,0.000349452545047,1571177402.26,1571177402.28
slateslatecom1,6.28314699978,6.28332499973,0.000177999958396,core 0 cpu_frequency,7.17331288338e-05,1571177402.28,1571177402.28
slateslatecom1,6.28332499973,6.3031259994,0.0198009996675,core 0 cpu_idle,0.000301608826935,1571177402.28,1571177402.3
slateslatecom1,6.3031259994,6.30395199964,0.000826000235975,core 0 cpu_frequency,0.000332874130297,1571177402.3,1571177402.3
slateslatecom1,6.30395199964,6.30560899945,0.00165699981153,core 0 cpu_frequency,0.000667762970448,1571177402.3,1571177402.31
slateslatecom1,6.30560899945,6.32238399936,0.0167749999091,core 0 cpu_idle,0.000255516798615,1571177402.31,1571177402.32
slateslatecom1,6.32238399936,6.32298699953,0.000603000167757,core 0 cpu_frequency,0.000243006173205,1571177402.32,1571177402.32
slateslatecom1,6.32298699953,6.3229969996,1.00000761449e-05,core 0 cpu_idle,1.5232115984e-07,1571177402.32,1571177402.32
slateslatecom1,6.3229969996,6.3237959994,0.000798999797553,core 0 cpu_frequency,0.000321993083215,1571177402.32,1571177402.32
slateslatecom1,6.3237959994,6.34314899938,0.0193529999815,core 0 cpu_idle,0.000294784895718,1571177402.32,1571177402.34
slateslatecom1,6.34314899938,6.34343399946,0.000285000074655,core 0 cpu_frequency,0.000114853662086,1571177402.34,1571177402.34
slateslatecom1,6.34343399946,6.34400799964,0.000574000179768,core 0 cpu_idle,8.74317073822e-06,1571177402.34,1571177402.34
slateslatecom1,6.34400799964,6.3449989995,0.000990999862552,core 0 cpu_frequency,0.000399368187809,1571177402.34,1571177402.34
slateslatecom1,6.3449989995,6.36492999969,0.0199310001917,core 0 cpu_idle,0.00030358899492,1571177402.34,1571177402.36
slateslatecom1,6.36492999969,6.36494199978,1.20000913739e-05,core 0 cpu_frequency,4.83597922325e-06,1571177402.36,1571177402.36
slateslatecom1,6.36494199978,6.38585699955,0.0209149997681,core 0 cpu_idle,0.000318577276468,1571177402.36,1571177402.39
slateslatecom1,6.38585699955,6.38723199954,0.00137499999255,core 0 cpu_frequency,0.000554118396997,1571177402.39,1571177402.39
slateslatecom1,6.38723199954,6.39009599946,0.00286399992183,core 0 cpu_idle,4.36244468093e-05,1571177402.39,1571177402.39
slateslatecom1,6.39009599946,6.39010399953,8.00006091595e-06,core 0 cpu_frequency,3.22398614883e-06,1571177402.39,1571177402.39
slateslatecom1,6.39010399953,6.41036099941,0.0202569998801,core 0 cpu_idle,0.000308554622173,1571177402.39,1571177402.41
slateslatecom1,6.41036099941,6.41356899962,0.00320800021291,core 0 cpu_frequency,0.0012928086874,1571177402.41,1571177402.41
slateslatecom1,6.41356899962,6.43889399944,0.0253249998204,core 0 cpu_idle,0.000385750397265,1571177402.41,1571177402.44
slateslatecom1,6.43889399944,6.43900499959,0.000111000146717,core 0 cpu_frequency,4.47325263262e-05,1571177402.44,1571177402.44
slateslatecom1,6.43900499959,6.44307999965,0.00407500006258,core 0 cpu_idle,6.20704009533e-05,1571177402.44,1571177402.44
slateslatecom1,6.44307999965,6.44355799956,0.000477999914438,core 0 cpu_frequency,0.000192631671119,1571177402.44,1571177402.44
slateslatecom1,6.44355799956,6.44373499975,0.000177000183612,core 0 cpu_frequency,7.13302243948e-05,1571177402.44,1571177402.44
