zumatawwwzumatacom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
zumatawwwzumatacom1,6.63144299993,6.65115699964,0.0197139997035,core 0 cpu_idle,0.000300283643484,1571177331.63,1571177331.65
zumatawwwzumatacom1,6.65115699964,6.65133999987,0.000183000229299,core 0 cpu_frequency,7.37482140064e-05,1571177331.65,1571177331.65
zumatawwwzumatacom1,6.65133999987,6.67127499962,0.0199349997565,core 0 cpu_idle,0.000303649916291,1571177331.65,1571177331.67
zumatawwwzumatacom1,6.67127499962,6.67158599989,0.000311000272632,core 0 cpu_frequency,0.000125331617069,1571177331.67,1571177331.67
zumatawwwzumatacom1,6.67158599989,6.68723999988,0.015653999988,core 0 cpu_idle,0.000238441727817,1571177331.67,1571177331.69
zumatawwwzumatacom1,6.68723999988,6.68734199973,0.000101999845356,core 0 cpu_frequency,4.11054480791e-05,1571177331.69,1571177331.69
zumatawwwzumatacom1,6.68734199973,6.70896299975,0.0216210000217,core 0 cpu_idle,0.00032933107233,1571177331.69,1571177331.71
zumatawwwzumatacom1,6.70896299975,6.70944099966,0.000477999914438,core 0 cpu_frequency,0.000192631671119,1571177331.71,1571177331.71
zumatawwwzumatacom1,6.70944099966,6.71127099963,0.00182999996468,core 0 cpu_idle,2.78745594621e-05,1571177331.71,1571177331.71
zumatawwwzumatacom1,6.71127099963,6.71140399994,0.000133000314236,core 0 cpu_frequency,5.35984882355e-05,1571177331.71,1571177331.71
zumatawwwzumatacom1,6.71140399994,6.72060799971,0.00920399976894,core 0 cpu_idle,0.000140195324481,1571177331.71,1571177331.72
zumatawwwzumatacom1,6.72060799971,6.72073599976,0.000128000043333,core 0 cpu_frequency,5.15834030628e-05,1571177331.72,1571177331.72
zumatawwwzumatacom1,6.72073599976,6.74169399962,0.0209579998627,core 0 cpu_idle,0.000319232253909,1571177331.72,1571177331.74
zumatawwwzumatacom1,6.74169399962,6.74185399991,0.000160000286996,core 0 cpu_frequency,6.44793476582e-05,1571177331.74,1571177331.74
zumatawwwzumatacom1,6.74185399991,6.75315599982,0.0113019999117,core 0 cpu_idle,0.000172152062654,1571177331.74,1571177331.75
zumatawwwzumatacom1,6.75315599982,6.75326899998,0.000113000161946,core 0 cpu_frequency,4.55385228634e-05,1571177331.75,1571177331.75
zumatawwwzumatacom1,6.75326899998,6.77118199971,0.0179129997268,core 0 cpu_idle,0.000272850811839,1571177331.75,1571177331.77
zumatawwwzumatacom1,6.77118199971,6.77144599985,0.000264000147581,core 0 cpu_frequency,0.000106390792274,1571177331.77,1571177331.77
zumatawwwzumatacom1,6.77144599985,6.79125999985,0.0198139999993,core 0 cpu_idle,0.00030180684799,1571177331.77,1571177331.79
zumatawwwzumatacom1,6.79125999985,6.79127399996,1.40001066029e-05,core 0 cpu_frequency,5.64197576046e-06,1571177331.79,1571177331.79
zumatawwwzumatacom1,6.79127399996,6.81117999973,0.0199059997685,core 0 cpu_idle,0.000303208188474,1571177331.79,1571177331.81
zumatawwwzumatacom1,6.81117999973,6.81128000002,0.000100000295788,core 0 cpu_frequency,4.02996392012e-05,1571177331.81,1571177331.81
zumatawwwzumatacom1,6.81128000002,6.83196199965,0.0206819996238,core 0 cpu_idle,0.000315028218269,1571177331.81,1571177331.83
zumatawwwzumatacom1,6.83196199965,6.83236599993,0.000404000282288,core 0 cpu_frequency,0.000162810174561,1571177331.83,1571177331.83
zumatawwwzumatacom1,6.83236599993,6.83450999996,0.00214400002733,core 0 cpu_idle,3.26574084163e-05,1571177331.83,1571177331.83
zumatawwwzumatacom1,6.83450999996,6.83464099979,0.000130999833345,core 0 cpu_frequency,5.2792304039e-05,1571177331.83,1571177331.83
zumatawwwzumatacom1,6.83464099979,6.85610499978,0.0214639999904,core 0 cpu_idle,0.000326939647853,1571177331.83,1571177331.86
zumatawwwzumatacom1,6.85610499978,6.85612899996,2.40001827478e-05,core 0 cpu_frequency,9.6719584465e-06,1571177331.86,1571177331.86
zumatawwwzumatacom1,6.85612899996,6.87714699982,0.0210179998539,core 0 cpu_idle,0.000320146173775,1571177331.86,1571177331.88
zumatawwwzumatacom1,6.87714699982,6.88148400001,0.00433700019494,core 0 cpu_frequency,0.00174779026096,1571177331.88,1571177331.88
zumatawwwzumatacom1,6.88148400001,6.89117399976,0.0096899997443,core 0 cpu_idle,0.000147598076105,1571177331.88,1571177331.89
zumatawwwzumatacom1,6.89117399976,6.89321199991,0.00203800015152,core 0 cpu_frequency,0.00082130427866,1571177331.89,1571177331.89
zumatawwwzumatacom1,6.89321199991,6.9112519999,0.0180399999954,core 0 cpu_idle,0.00027478527993,1571177331.89,1571177331.91
zumatawwwzumatacom1,6.9112519999,6.91264599981,0.00139399990439,core 0 cpu_frequency,0.000561775270271,1571177331.91,1571177331.91
zumatawwwzumatacom1,6.91264599981,6.99160499964,0.0789589998312,core 0 cpu_idle,0.00120270348543,1571177331.91,1571177331.99
zumatawwwzumatacom1,6.99160499964,6.99452900002,0.0029240003787,core 0 cpu_frequency,0.00117835811741,1571177331.99,1571177331.99
zumatawwwzumatacom1,6.99452900002,7.01118099969,0.016651999671,core 0 cpu_idle,0.000253643258989,1571177331.99,1571177332.01
zumatawwwzumatacom1,7.01118099969,7.01207699999,0.000896000303328,core 0 cpu_frequency,0.00036108382144,1571177332.01,1571177332.01
zumatawwwzumatacom1,7.01207699999,7.01641199971,0.00433499971405,core 0 cpu_frequency,0.00174698407676,1571177332.01,1571177332.02
zumatawwwzumatacom1,7.01641199971,7.03283899976,0.0164270000532,core 0 cpu_idle,0.000250216064811,1571177332.02,1571177332.03
zumatawwwzumatacom1,7.03283899976,7.03296299977,0.000124000012875,core 0 cpu_frequency,4.99714099884e-05,1571177332.03,1571177332.03
