edgyedgyapp2,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
edgyedgyapp2,7.54878300009,7.88909700047,0.340314000379,core 0 cpu_idle,0.00522892461583,1571181268.55,1571181268.89
edgyedgyapp2,7.88909700047,7.90037700022,0.0112799997441,core 0 cpu_frequency,0.00458547781599,1571181268.89,1571181268.9
edgyedgyapp2,7.90037700022,7.91129300045,0.0109160002321,core 0 cpu_idle,0.000167724343566,1571181268.9,1571181268.91
edgyedgyapp2,7.91129300045,7.95248200046,0.0411890000105,core 0 cpu_frequency,0.0167439051503,1571181268.91,1571181268.95
edgyedgyapp2,7.95248200046,7.95797300013,0.00549099966884,core 0 cpu_idle,8.43692099117e-05,1571181268.95,1571181268.96
edgyedgyapp2,7.95797300013,7.95877800044,0.000805000308901,core 0 cpu_frequency,0.000327243895573,1571181268.96,1571181268.96
edgyedgyapp2,7.95877800044,7.97835500026,0.0195769998245,core 0 cpu_idle,0.000300800602303,1571181268.96,1571181268.98
edgyedgyapp2,7.97835500026,7.9916740004,0.0133190001361,core 0 cpu_frequency,0.00541436002133,1571181268.98,1571181268.99
edgyedgyapp2,7.9916740004,8.11823600018,0.126561999787,core 0 cpu_idle,0.00194462512672,1571181268.99,1571181269.12
edgyedgyapp2,8.11823600018,8.12149400031,0.00325800012797,core 0 cpu_frequency,0.00132442266402,1571181269.12,1571181269.12
edgyedgyapp2,8.12149400031,8.14510900015,0.0236149998382,core 0 cpu_idle,0.000362844472514,1571181269.12,1571181269.15
edgyedgyapp2,8.14510900015,8.1453160001,0.000206999946386,core 0 cpu_frequency,8.4148376205e-05,1571181269.15,1571181269.15
edgyedgyapp2,8.1453160001,8.20317400014,0.0578580000438,core 0 cpu_idle,0.000888988170673,1571181269.15,1571181269.2
edgyedgyapp2,8.20317400014,8.20323200012,5.79999759793e-05,core 0 cpu_frequency,2.35778022353e-05,1571181269.2,1571181269.2
edgyedgyapp2,8.20323200012,8.31826300034,0.115031000227,core 0 cpu_idle,0.00176745131848,1571181269.2,1571181269.32
edgyedgyapp2,8.31826300034,8.32450400013,0.00624099979177,core 0 cpu_frequency,0.00253705378935,1571181269.32,1571181269.32
edgyedgyapp2,8.32450400013,8.33835900016,0.0138550000265,core 0 cpu_idle,0.000212882075408,1571181269.32,1571181269.34
edgyedgyapp2,8.33835900016,8.3417360005,0.0033770003356,core 0 cpu_frequency,0.00137279791443,1571181269.34,1571181269.34
edgyedgyapp2,8.3417360005,8.35817100015,0.0164349996485,core 0 cpu_idle,0.000252523769599,1571181269.34,1571181269.36
edgyedgyapp2,8.35817100015,8.36454300024,0.00637200009078,core 0 cpu_frequency,0.0025903072449,1571181269.36,1571181269.36
edgyedgyapp2,8.36454300024,8.36482700054,0.000284000299871,core 0 cpu_idle,4.36366460752e-06,1571181269.36,1571181269.36
edgyedgyapp2,8.36482700054,8.3744930001,0.00966599956155,core 0 cpu_frequency,0.00392936414576,1571181269.36,1571181269.37
edgyedgyapp2,8.3744930001,8.39488400053,0.0203910004348,core 0 cpu_idle,0.00031330772168,1571181269.37,1571181269.39
edgyedgyapp2,8.39488400053,8.39686000021,0.00197599967942,core 0 cpu_frequency,0.000803271533678,1571181269.39,1571181269.4
edgyedgyapp2,8.39686000021,8.40051200008,0.00365199986845,core 0 cpu_idle,5.61129779788e-05,1571181269.4,1571181269.4
edgyedgyapp2,8.40051200008,8.40055000037,3.80002893507e-05,core 0 cpu_frequency,1.54476496251e-05,1571181269.4,1571181269.4
edgyedgyapp2,8.40055000037,8.41795400018,0.0174039998092,core 0 cpu_idle,0.000267412457068,1571181269.4,1571181269.42
edgyedgyapp2,8.41795400018,8.41841400042,0.000460000243038,core 0 cpu_frequency,0.000186996538798,1571181269.42,1571181269.42
edgyedgyapp2,8.41841400042,8.41855700035,0.000142999924719,core 0 cpu_idle,2.19719384331e-06,1571181269.42,1571181269.42
edgyedgyapp2,8.41855700035,8.41862400016,6.69998116791e-05,core 0 cpu_frequency,2.72363614449e-05,1571181269.42,1571181269.42
edgyedgyapp2,8.41862400016,8.42342100013,0.00479699997231,core 0 cpu_idle,7.37059045746e-05,1571181269.42,1571181269.42
edgyedgyapp2,8.42342100013,8.4244830003,0.00106200017035,core 0 cpu_frequency,0.00043171793725,1571181269.42,1571181269.42
edgyedgyapp2,8.4244830003,8.44686000049,0.0223770001903,core 0 cpu_idle,0.000343822607924,1571181269.42,1571181269.45
edgyedgyapp2,8.44686000049,8.45284600044,0.00598599994555,core 0 cpu_frequency,0.00243339278187,1571181269.45,1571181269.45
edgyedgyapp2,8.45284600044,8.47826600028,0.0254199998453,core 0 cpu_idle,0.000390578297623,1571181269.45,1571181269.48
