tourismuswwwnrw-tourismusde2,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
tourismuswwwnrw-tourismusde2,6.23220800003,6.23371199984,0.00150399981067,core 0 cpu_idle,2.31089570909e-05,1571181404.23,1571181404.23
tourismuswwwnrw-tourismusde2,6.23371199984,6.23465699982,0.000944999977946,core 0 cpu_frequency,0.000384155721035,1571181404.23,1571181404.23
tourismuswwwnrw-tourismusde2,6.23465699982,6.25373299979,0.0190759999678,core 0 cpu_idle,0.000293102739505,1571181404.23,1571181404.25
tourismuswwwnrw-tourismusde2,6.25373299979,6.25380800012,7.50003382564e-05,core 0 cpu_frequency,3.04886875059e-05,1571181404.25,1571181404.25
tourismuswwwnrw-tourismusde2,6.25380800012,6.25811100006,0.00430299993604,core 0 cpu_idle,6.61155940173e-05,1571181404.25,1571181404.26
tourismuswwwnrw-tourismusde2,6.25811100006,6.25869000005,0.000578999985009,core 0 cpu_frequency,0.000235371599906,1571181404.26,1571181404.26
tourismuswwwnrw-tourismusde2,6.25869000005,6.25913099991,0.000440999865532,core 0 cpu_frequency,0.000179272619337,1571181404.26,1571181404.26
tourismuswwwnrw-tourismusde2,6.25913099991,6.28038100014,0.0212500002235,core 0 cpu_idle,0.000326506253434,1571181404.26,1571181404.28
tourismuswwwnrw-tourismusde2,6.28038100014,6.28039499978,1.39996409416e-05,core 0 cpu_frequency,5.69105003774e-06,1571181404.28,1571181404.28
tourismuswwwnrw-tourismusde2,6.28039499978,6.29050499992,0.0101100001484,core 0 cpu_idle,0.00015534015228,1571181404.28,1571181404.29
tourismuswwwnrw-tourismusde2,6.29050499992,6.29052700009,2.20001675189e-05,core 0 cpu_frequency,8.94337609876e-06,1571181404.29,1571181404.29
tourismuswwwnrw-tourismusde2,6.29052700009,6.31098000007,0.0204529999755,core 0 cpu_idle,0.000314260344624,1571181404.29,1571181404.31
tourismuswwwnrw-tourismusde2,6.31098000007,6.31103600003,5.59999607503e-05,core 0 cpu_frequency,2.27647680445e-05,1571181404.31,1571181404.31
tourismuswwwnrw-tourismusde2,6.31103600003,6.33354800008,0.0225120000541,core 0 cpu_idle,0.000345896880832,1571181404.31,1571181404.33
tourismuswwwnrw-tourismusde2,6.33354800008,6.33377399994,0.00022599985823,core 0 cpu_frequency,9.18721063687e-05,1571181404.33,1571181404.33
tourismuswwwnrw-tourismusde2,6.33377399994,6.33403899986,0.000264999922365,core 0 cpu_idle,4.07172380714e-06,1571181404.33,1571181404.33
tourismuswwwnrw-tourismusde2,6.33403899986,6.33563099988,0.00159200001508,core 0 cpu_frequency,0.00064717029413,1571181404.33,1571181404.34
tourismuswwwnrw-tourismusde2,6.33563099988,6.37369700009,0.038066000212,core 0 cpu_idle,0.000584884093257,1571181404.34,1571181404.37
tourismuswwwnrw-tourismusde2,6.37369700009,6.37436700007,0.000669999979436,core 0 cpu_frequency,0.000272364371641,1571181404.37,1571181404.37
