petlovewwwpetlovecombr1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
petlovewwwpetlovecombr1,6.56381400023,6.5638580001,4.39998693764e-05,core 0 cpu_frequency,1.7829521469e-05,1571189133.56,1571189133.56
petlovewwwpetlovecombr1,6.5638580001,6.58393800026,0.0200800001621,core 0 cpu_idle,0.000307545282483,1571189133.56,1571189133.58
petlovewwwpetlovecombr1,6.58393800026,6.58401999995,8.19996930659e-05,core 0 cpu_frequency,3.32277188249e-05,1571189133.58,1571189133.58
petlovewwwpetlovecombr1,6.58401999995,6.58717700001,0.0031570000574,core 0 cpu_idle,4.83526128791e-05,1571189133.58,1571189133.59
petlovewwwpetlovecombr1,6.58717700001,6.58730300004,0.000126000028104,core 0 cpu_frequency,5.10574289881e-05,1571189133.59,1571189133.59
petlovewwwpetlovecombr1,6.58730300004,6.59426000016,0.00695700012147,core 0 cpu_idle,0.00010655341386,1571189133.59,1571189133.59
petlovewwwpetlovecombr1,6.59426000016,6.59455900034,0.000299000181258,core 0 cpu_frequency,0.000121160135849,1571189133.59,1571189133.59
petlovewwwpetlovecombr1,6.59455900034,6.59506299999,0.000503999646753,core 0 cpu_idle,7.71925858967e-06,1571189133.59,1571189133.6
petlovewwwpetlovecombr1,6.59506299999,6.59551700018,0.000454000197351,core 0 cpu_frequency,0.00018396887037,1571189133.6,1571189133.6
petlovewwwpetlovecombr1,6.59551700018,6.61648300011,0.0209659999236,core 0 cpu_idle,0.000321115254831,1571189133.6,1571189133.62
petlovewwwpetlovecombr1,6.61648300011,6.61653400026,5.10001555085e-05,core 0 cpu_frequency,2.06661606148e-05,1571189133.62,1571189133.62
petlovewwwpetlovecombr1,6.61653400026,6.62481800001,0.00828399974853,core 0 cpu_idle,0.000126877740148,1571189133.62,1571189133.62
petlovewwwpetlovecombr1,6.62481800001,6.63881399995,0.013995999936,core 0 cpu_frequency,0.00567142550367,1571189133.62,1571189133.64
petlovewwwpetlovecombr1,6.63881399995,6.63977000024,0.000956000294536,core 0 cpu_frequency,0.000387388144951,1571189133.64,1571189133.64
petlovewwwpetlovecombr1,6.63977000024,6.64718000032,0.00741000007838,core 0 cpu_idle,0.0001134915612,1571189133.64,1571189133.65
petlovewwwpetlovecombr1,6.64718000032,6.6471950002,1.49998813868e-05,core 0 cpu_frequency,6.07821593583e-06,1571189133.65,1571189133.65
petlovewwwpetlovecombr1,6.6471950002,6.66726000002,0.0200649998151,core 0 cpu_idle,0.000307315537168,1571189133.65,1571189133.67
petlovewwwpetlovecombr1,6.66726000002,6.66759800026,0.000338000245392,core 0 cpu_frequency,0.000136963648237,1571189133.67,1571189133.67
petlovewwwpetlovecombr1,6.66759800026,6.68729600031,0.0196980000474,core 0 cpu_idle,0.000301694568725,1571189133.67,1571189133.69
petlovewwwpetlovecombr1,6.68729600031,6.68814099999,0.000844999682158,core 0 cpu_frequency,0.000342408743205,1571189133.69,1571189133.69
petlovewwwpetlovecombr1,6.68814099999,6.70721299993,0.0190719999373,core 0 cpu_idle,0.00029210675104,1571189133.69,1571189133.71
petlovewwwpetlovecombr1,6.70721299993,6.70738100028,0.000168000347912,core 0 cpu_frequency,6.80766977802e-05,1571189133.71,1571189133.71
petlovewwwpetlovecombr1,6.70738100028,6.72733899998,0.0199579996988,core 0 cpu_idle,0.000305676723387,1571189133.71,1571189133.73
